request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Balance 83998265.00 IDR, min balance 31633600.00. Forecast headroom on 2024-09-03 is 52364665.00 against a request of 26999000.00. Decision: affordable_now / full_payment."
request_152,13882.0,affordable_now,full_payment,2025-02-05:13882.00,2025-02-05,none,"Balance 28368.77 ZAR, min balance 11900.00. Forecast headroom on 2025-02-05 is 16468.77 against a request of 13882.00. Decision: affordable_now / full_payment."
request_153,503.6,not_affordable,not_recommended,none,,none,"Balance 1903.60 USD, min balance 1400.00. Forecast headroom on 2026-07-07 is 503.60 against a request of 2830.80. Decision: not_affordable / not_recommended."
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.80,2024-12-04,none,"Balance 4679.40 EUR, min balance 1300.00. Forecast headroom on 2024-12-04 is 3379.40 against a request of 1625.80. Decision: affordable_now / full_payment."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,"Balance 218050.00 INR, min balance 56300.00. Forecast headroom on 2025-05-06 is 161750.00 against a request of 112500.00. Decision: affordable_now / full_payment."
request_156,13588.3,not_affordable,not_recommended,none,,reduce_to:event_14399:0.00,"Balance 42105.30 ZAR, min balance 26900.00. Forecast headroom on 2026-04-03 is 13588.30 against a request of 43076.00. Decision: not_affordable / not_recommended. Required spending changes: reduce_to:event_14399:0.00."
request_157,10091850.0,not_affordable,not_recommended,none,,none,"Balance 25805950.00 IDR, min balance 15714100.00. Forecast headroom on 2024-03-05 is 10091850.00 against a request of 23503000.00. Decision: not_affordable / not_recommended."
request_158,242600.0,affordable_now,full_payment,2025-08-07:242600.00,2025-08-07,none,"Balance 745417.10 INR, min balance 131400.00. Forecast headroom on 2025-08-07 is 614017.10 against a request of 242600.00. Decision: affordable_now / full_payment."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,"Balance 40283.20 ZAR, min balance 8700.00. Forecast headroom on 2026-01-04 is 31583.20 against a request of 13398.00. Decision: affordable_now / full_payment."
request_160,857.61,not_affordable,not_recommended,none,,none,"Balance 2144.61 EUR, min balance 1200.00. Forecast headroom on 2024-06-06 is 857.61 against a request of 1246.30. Decision: not_affordable / not_recommended."
request_161,17241550.0,not_affordable,not_recommended,none,,none,"Balance 41308350.00 IDR, min balance 23010400.00. Forecast headroom on 2025-11-03 is 17241550.00 against a request of 21204000.00. Decision: not_affordable / not_recommended."
request_162,8601300.0,not_affordable,not_recommended,none,,none,"Balance 34607300.00 IDR, min balance 24161100.00. Forecast headroom on 2026-07-05 is 8601300.00 against a request of 83923000.00. Decision: not_affordable / not_recommended."
request_163,19304000.0,affordable_now,full_payment,2024-09-07:19304000.00,2024-09-07,none,"Balance 49519524.26 IDR, min balance 26728700.00. Forecast headroom on 2024-09-07 is 21078924.26 against a request of 19304000.00. Decision: affordable_now / full_payment."
request_164,27018000.0,affordable_now,full_payment,2025-02-04:27018000.00,2025-02-04,none,"Balance 75429169.20 IDR, min balance 29550500.00. Forecast headroom on 2025-02-04 is 44542969.20 against a request of 27018000.00. Decision: affordable_now / full_payment."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,"Balance 366705.00 INR, min balance 95000.00. Forecast headroom on 2026-04-06 is 271705.00 against a request of 80600.00. Decision: affordable_now / full_payment."
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.60,2024-12-03,none,"Balance 9001.95 USD, min balance 1700.00. Forecast headroom on 2024-12-03 is 7301.95 against a request of 2907.60. Decision: affordable_now / full_payment."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Balance 105090.30 ZAR, min balance 31200.00. Forecast headroom on 2025-05-05 is 73890.30 against a request of 43802.00. Decision: affordable_now / full_payment."
request_168,49380.0,affordable_now,full_payment,2026-01-07:49380.00,2026-01-07,none,"Balance 173843.00 INR, min balance 114400.00. Forecast headroom on 2026-01-07 is 59443.00 against a request of 49380.00. Decision: affordable_now / full_payment."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,"Balance 77544.50 ZAR, min balance 18700.00. Forecast headroom on 2024-03-04 is 58844.50 against a request of 41976.00. Decision: affordable_now / full_payment."
request_170,36936000.0,affordable_now,full_payment,2025-08-06:36936000.00,2025-08-06,none,"Balance 69446998.40 IDR, min balance 24715800.00. Forecast headroom on 2025-08-06 is 44731198.40 against a request of 36936000.00. Decision: affordable_now / full_payment."
request_171,310.65,not_affordable,not_recommended,none,,none,"Balance 810.65 EUR, min balance 500.00. Forecast headroom on 2026-07-03 is 310.65 against a request of 1878.80. Decision: not_affordable / not_recommended."
request_172,10200.0,affordable_now,full_payment,2024-06-05:10200.00,2024-06-05,none,"Balance 50942.40 ZAR, min balance 27200.00. Forecast headroom on 2024-06-05 is 23742.40 against a request of 10200.00. Decision: affordable_now / full_payment."
request_173,83190.53,not_affordable,not_recommended,none,,none,"Balance 162290.53 INR, min balance 79100.00. Forecast headroom on 2025-11-07 is 83190.53 against a request of 113000.00. Decision: not_affordable / not_recommended."
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.20,2026-04-04,none,"Balance 3266.04 EUR, min balance 700.00. Forecast headroom on 2026-04-04 is 2566.04 against a request of 1146.20. Decision: affordable_now / full_payment."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Balance 4760.25 EUR, min balance 1700.00. Forecast headroom on 2024-09-06 is 3060.25 against a request of 2346.30. Decision: affordable_now / full_payment."
request_176,686.95,not_affordable,not_recommended,none,,none,"Balance 1286.95 EUR, min balance 600.00. Forecast headroom on 2025-02-03 is 686.95 against a request of 1239.70. Decision: not_affordable / not_recommended."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Balance 2987.24 USD, min balance 1300.00. Forecast headroom on 2026-01-05 is 1687.24 against a request of 1017.60. Decision: affordable_now / full_payment."
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.10,2024-12-07,none,"Balance 7959.30 EUR, min balance 1400.00. Forecast headroom on 2024-12-07 is 6559.30 against a request of 2938.10. Decision: affordable_now / full_payment."
request_179,37957250.0,not_affordable,not_recommended,none,,none,"Balance 79388050.00 IDR, min balance 41430800.00. Forecast headroom on 2025-05-04 is 37957250.00 against a request of 41648000.00. Decision: not_affordable / not_recommended."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,"Balance 134980.00 INR, min balance 37300.00. Forecast headroom on 2026-07-06 is 95390.00 against a request of 66500.00. Decision: affordable_now / full_payment."
request_181,1141.0,not_affordable,not_recommended,none,,none,"Balance 3362.00 USD, min balance 2000.00. Forecast headroom on 2024-03-03 is 1141.00 against a request of 5059.20. Decision: not_affordable / not_recommended."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,"Balance 125010.30 ZAR, min balance 31100.00. Forecast headroom on 2025-08-05 is 92667.30 against a request of 65714.00. Decision: affordable_now / full_payment."
request_183,26866000.0,affordable_now,full_payment,2026-04-07:26866000.00,2026-04-07,none,"Balance 42156223.74 IDR, min balance 11878300.00. Forecast headroom on 2026-04-07 is 28947923.74 against a request of 26866000.00. Decision: affordable_now / full_payment."
request_184,47540.0,not_affordable,not_recommended,none,,none,"Balance 163160.00 INR, min balance 110800.00. Forecast headroom on 2024-06-04 is 47540.00 against a request of 251900.00. Decision: not_affordable / not_recommended."
request_185,783.4,not_affordable,not_recommended,none,,none,"Balance 2083.40 EUR, min balance 1300.00. Forecast headroom on 2025-11-06 is 783.40 against a request of 1257.30. Decision: not_affordable / not_recommended."
request_186,22863.5,not_affordable,not_recommended,none,,none,"Balance 44863.50 ZAR, min balance 22000.00. Forecast headroom on 2026-01-03 is 22863.50 against a request of 26554.00. Decision: not_affordable / not_recommended."
request_187,67435.0,not_affordable,not_recommended,none,,none,"Balance 195735.00 INR, min balance 128300.00. Forecast headroom on 2024-09-05 is 67435.00 against a request of 187500.00. Decision: not_affordable / not_recommended."
request_188,585.3,not_affordable,not_recommended,none,,none,"Balance 1485.30 EUR, min balance 900.00. Forecast headroom on 2025-02-07 is 585.30 against a request of 2464.00. Decision: not_affordable / not_recommended."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"Balance 1147.66 EUR, min balance 400.00. Forecast headroom on 2026-07-04 is 747.66 against a request of 488.40. Decision: affordable_now / full_payment."
request_190,1555.8,affordable_with_plan,full_payment,2024-12-15:2557.50,2024-12-15,none,"Balance 3155.80 EUR, min balance 1600.00. Forecast headroom on 2024-12-06 is 1555.80 against a request of 2557.50. Decision: affordable_with_plan / full_payment."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"Balance 1591.06 EUR, min balance 500.00. Forecast headroom on 2025-05-03 is 1091.06 against a request of 664.40. Decision: affordable_now / full_payment."
request_192,384.8,not_affordable,not_recommended,none,,none,"Balance 1384.80 USD, min balance 1000.00. Forecast headroom on 2026-04-05 is 384.80 against a request of 2046.00. Decision: not_affordable / not_recommended."
request_193,310.62,not_affordable,not_recommended,none,,none,"Balance 1310.62 EUR, min balance 1000.00. Forecast headroom on 2024-03-07 is 310.62 against a request of 1212.20. Decision: not_affordable / not_recommended."
request_194,95030.0,not_affordable,not_recommended,none,,none,"Balance 208630.00 INR, min balance 113600.00. Forecast headroom on 2025-08-04 is 95030.00 against a request of 132800.00. Decision: not_affordable / not_recommended."
request_195,1170.4,affordable_now,full_payment,2026-01-06:1170.40,2026-01-06,none,"Balance 2011.18 EUR, min balance 700.00. Forecast headroom on 2026-01-06 is 1311.18 against a request of 1170.40. Decision: affordable_now / full_payment."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,"Balance 1575.65 EUR, min balance 500.00. Forecast headroom on 2024-06-03 is 1075.65 against a request of 762.30. Decision: affordable_now / full_payment."
request_197,50939000.0,affordable_now,full_payment,2025-11-05:50939000.00,2025-11-05,none,"Balance 96081218.26 IDR, min balance 26245900.00. Forecast headroom on 2025-11-05 is 69835318.26 against a request of 50939000.00. Decision: affordable_now / full_payment."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,"Balance 395190.00 INR, min balance 124300.00. Forecast headroom on 2026-07-07 is 262090.00 against a request of 185800.00. Decision: affordable_now / full_payment."
request_199,23674000.0,affordable_now,full_payment,2024-09-04:23674000.00,2024-09-04,none,"Balance 136691818.94 IDR, min balance 25359500.00. Forecast headroom on 2024-09-04 is 111332318.94 against a request of 23674000.00. Decision: affordable_now / full_payment."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,"Balance 53886150.00 IDR, min balance 20114600.00. Forecast headroom on 2025-02-06 is 32756950.00 against a request of 21717000.00. Decision: affordable_now / full_payment."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,"Balance 77973400.00 IDR, min balance 17304500.00. Forecast headroom on 2026-04-03 is 60003900.00 against a request of 23997000.00. Decision: affordable_now / full_payment."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,"Balance 366065.00 INR, min balance 147800.00. Forecast headroom on 2024-12-05 is 208335.00 against a request of 123900.00. Decision: affordable_now / full_payment."
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.10,2025-05-07,none,"Balance 8327.38 EUR, min balance 1400.00. Forecast headroom on 2025-05-07 is 6830.38 against a request of 1442.10. Decision: affordable_now / full_payment."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Balance 2626.28 EUR, min balance 1300.00. Forecast headroom on 2026-01-04 is 1249.28 against a request of 588.74. Decision: affordable_now / full_payment."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,"Balance 31462900.00 IDR, min balance 13994300.00. Forecast headroom on 2024-03-06 is 17468600.00 against a request of 10621000.00. Decision: affordable_now / full_payment."
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.70,2025-08-03,none,"Balance 5231.14 EUR, min balance 900.00. Forecast headroom on 2025-08-03 is 4331.14 against a request of 1404.70. Decision: affordable_now / full_payment."
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830.00,2026-07-05,none,"Balance 26729.60 ZAR, min balance 13600.00. Forecast headroom on 2026-07-05 is 13129.60 against a request of 11830.00. Decision: affordable_now / full_payment."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,none,"Balance 16928800.00 IDR, min balance 10470700.00. Forecast headroom on 2024-06-07 is 6458100.00 against a request of 4413000.00. Decision: affordable_now / full_payment."
request_209,8625.1,not_affordable,not_recommended,none,,none,"Balance 27025.10 ZAR, min balance 18400.00. Forecast headroom on 2025-11-04 is 8625.10 against a request of 56914.00. Decision: not_affordable / not_recommended."
request_210,1360.02,affordable_now,full_payment,2026-04-06:1360.02,2026-04-06,none,"Balance 3525.32 USD, min balance 2000.00. Forecast headroom on 2026-04-06 is 1379.52 against a request of 1360.02. Decision: affordable_now / full_payment."
request_211,1227.89,affordable_with_plan,full_payment,2024-09-15:1788.60,2024-09-15,none,"Balance 2727.89 EUR, min balance 1500.00. Forecast headroom on 2024-09-03 is 1227.89 against a request of 1788.60. Decision: affordable_with_plan / full_payment."
request_212,22344000.0,not_affordable,not_recommended,none,,none,"Balance 51923800.00 IDR, min balance 29579800.00. Forecast headroom on 2025-02-05 is 22344000.00 against a request of 71934000.00. Decision: not_affordable / not_recommended."
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.40,2026-01-07,none,"Balance 12051.94 USD, min balance 2100.00. Forecast headroom on 2026-01-07 is 9951.94 against a request of 3362.40. Decision: affordable_now / full_payment."
request_214,69750.0,affordable_now,full_payment,2024-12-04:69750.00,2024-12-04,none,"Balance 292180.00 INR, min balance 174900.00. Forecast headroom on 2024-12-04 is 117280.00 against a request of 69750.00. Decision: affordable_now / full_payment."
request_215,29986.0,affordable_now,full_payment,2025-05-06:29986.00,2025-05-06,none,"Balance 93951.16 ZAR, min balance 15700.00. Forecast headroom on 2025-05-06 is 78251.16 against a request of 29986.00. Decision: affordable_now / full_payment."
request_216,1166.8,not_affordable,not_recommended,none,,none,"Balance 2966.80 USD, min balance 1800.00. Forecast headroom on 2026-07-03 is 1166.80 against a request of 3332.40. Decision: not_affordable / not_recommended."
request_217,12889.07,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Balance 58401.97 ZAR, min balance 26800.00. Forecast headroom on 2024-03-05 is 31601.97 against a request of 37180.00. Decision: affordable_with_plan / installments."
request_218,21195893.33,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Balance 72419614.80 IDR, min balance 34477200.00. Forecast headroom on 2025-08-07 is 37942414.80 against a request of 61142000.00. Decision: affordable_with_plan / installments."
request_219,1673.1,affordable_now,full_payment,2026-04-04:1673.10,2026-04-04,none,"Balance 2815.51 EUR, min balance 1100.00. Forecast headroom on 2026-04-04 is 1715.51 against a request of 1673.10. Decision: affordable_now / full_payment."
request_220,307.32,not_affordable,not_recommended,none,,none,"Balance 1487.32 EUR, min balance 1100.00. Forecast headroom on 2024-06-06 is 307.32 against a request of 3118.50. Decision: not_affordable / not_recommended."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,"Balance 268305.00 INR, min balance 81500.00. Forecast headroom on 2025-11-03 is 183815.00 against a request of 109800.00. Decision: affordable_now / full_payment."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,"Balance 118101.70 ZAR, min balance 27300.00. Forecast headroom on 2026-01-05 is 89662.10 against a request of 34078.00. Decision: affordable_now / full_payment."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,"Balance 2255.51 EUR, min balance 800.00. Forecast headroom on 2024-09-07 is 1391.51 against a request of 898.70. Decision: affordable_now / full_payment."
request_224,10327000.0,affordable_now,full_payment,2025-02-04:10327000.00,2025-02-04,none,"Balance 49969400.00 IDR, min balance 22187600.00. Forecast headroom on 2025-02-04 is 25974900.00 against a request of 10327000.00. Decision: affordable_now / full_payment."
request_225,18120459.6,not_affordable,not_recommended,none,,none,"Balance 35791159.60 IDR, min balance 17670700.00. Forecast headroom on 2026-07-06 is 18120459.60 against a request of 22059000.00. Decision: not_affordable / not_recommended."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,"Balance 581180.00 INR, min balance 209400.00. Forecast headroom on 2024-12-03 is 371780.00 against a request of 157000.00. Decision: affordable_now / full_payment."
request_227,42755.0,not_affordable,not_recommended,none,,none,"Balance 105655.00 INR, min balance 62900.00. Forecast headroom on 2025-05-05 is 42755.00 against a request of 259700.00. Decision: not_affordable / not_recommended."
request_228,10557350.0,not_affordable,not_recommended,none,,none,"Balance 36748550.00 IDR, min balance 26191200.00. Forecast headroom on 2026-04-07 is 10557350.00 against a request of 63327000.00. Decision: not_affordable / not_recommended."
request_229,727.52,not_affordable,not_recommended,none,,none,"Balance 1800.52 EUR, min balance 1000.00. Forecast headroom on 2024-03-04 is 727.52 against a request of 1526.80. Decision: not_affordable / not_recommended."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Balance 8676.76 EUR, min balance 2000.00. Forecast headroom on 2025-08-06 is 6676.76 against a request of 3537.60. Decision: affordable_now / full_payment."
request_231,35706.0,affordable_now,full_payment,2026-01-03:35706.00,2026-01-03,none,"Balance 84590.59 ZAR, min balance 24300.00. Forecast headroom on 2026-01-03 is 60290.59 against a request of 35706.00. Decision: affordable_now / full_payment."
request_232,1869.4,not_affordable,not_recommended,none,,none,"Balance 4269.40 EUR, min balance 2400.00. Forecast headroom on 2024-06-05 is 1869.40 against a request of 1970.10. Decision: not_affordable / not_recommended."
request_233,6241000.0,affordable_now,full_payment,2025-11-07:6241000.00,2025-11-07,none,"Balance 19341300.00 IDR, min balance 10365700.00. Forecast headroom on 2025-11-07 is 8975600.00 against a request of 6241000.00. Decision: affordable_now / full_payment."
request_234,528.6,not_affordable,not_recommended,none,,none,"Balance 1274.25 EUR, min balance 700.00. Forecast headroom on 2026-07-04 is 528.60 against a request of 1213.30. Decision: not_affordable / not_recommended."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,"Balance 2086.28 USD, min balance 700.00. Forecast headroom on 2024-09-06 is 1386.28 against a request of 967.20. Decision: affordable_now / full_payment."
request_236,14404850.0,not_affordable,not_recommended,none,,none,"Balance 31173450.00 IDR, min balance 16768600.00. Forecast headroom on 2025-02-03 is 14404850.00 against a request of 52383000.00. Decision: not_affordable / not_recommended."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,"Balance 100824550.00 IDR, min balance 22431500.00. Forecast headroom on 2026-04-05 is 78393050.00 against a request of 23826000.00. Decision: affordable_now / full_payment."
request_238,663.6,affordable_now,full_payment,2024-12-07:663.60,2024-12-07,none,"Balance 1882.07 USD, min balance 700.00. Forecast headroom on 2024-12-07 is 1182.07 against a request of 663.60. Decision: affordable_now / full_payment."
request_239,642.0,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,"Balance 1988.90 USD, min balance 600.00. Forecast headroom on 2025-05-04 is 1388.90 against a request of 642.00. Decision: affordable_now / full_payment."
request_240,37400.0,not_affordable,not_recommended,none,,none,"Balance 92720.00 INR, min balance 52800.00. Forecast headroom on 2026-01-06 is 37400.00 against a request of 101200.00. Decision: not_affordable / not_recommended."
request_241,21052000.0,affordable_now,full_payment,2024-03-03:21052000.00,2024-03-03,none,"Balance 90172322.14 IDR, min balance 19252000.00. Forecast headroom on 2024-03-03 is 69381322.14 against a request of 21052000.00. Decision: affordable_now / full_payment."
request_242,369.4,not_affordable,not_recommended,none,,none,"Balance 1037.40 EUR, min balance 600.00. Forecast headroom on 2025-08-05 is 369.40 against a request of 1966.80. Decision: not_affordable / not_recommended."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,"Balance 47470.40 ZAR, min balance 19900.00. Forecast headroom on 2026-07-07 is 26499.00 against a request of 17468.00. Decision: affordable_now / full_payment."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,"Balance 126279.20 ZAR, min balance 45900.00. Forecast headroom on 2024-06-04 is 76861.40 against a request of 49918.00. Decision: affordable_now / full_payment."
request_245,65760.0,not_affordable,not_recommended,none,,none,"Balance 160360.00 INR, min balance 94600.00. Forecast headroom on 2025-11-06 is 65760.00 against a request of 128500.00. Decision: not_affordable / not_recommended."
request_246,64086.0,affordable_now,full_payment,2026-04-03:64086.00,2026-04-03,none,"Balance 201692.06 ZAR, min balance 39300.00. Forecast headroom on 2026-04-03 is 162392.06 against a request of 64086.00. Decision: affordable_now / full_payment."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Balance 2819.20 EUR, min balance 1300.00. Forecast headroom on 2024-09-05 is 1519.20 against a request of 1059.30. Decision: affordable_now / full_payment."
request_248,1507.36,not_affordable,not_recommended,none,,none,"Balance 2807.36 USD, min balance 1300.00. Forecast headroom on 2025-02-07 is 1507.36 against a request of 1965.60. Decision: not_affordable / not_recommended."
request_249,342.4,not_affordable,not_recommended,none,,none,"Balance 942.40 USD, min balance 600.00. Forecast headroom on 2026-01-04 is 342.40 against a request of 643.20. Decision: not_affordable / not_recommended."
request_250,28820.0,not_affordable,not_recommended,none,,none,"Balance 64120.00 ZAR, min balance 35300.00. Forecast headroom on 2024-12-06 is 28820.00 against a request of 124278.00. Decision: not_affordable / not_recommended."
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.60,2025-05-03,none,"Balance 4648.55 EUR, min balance 1300.00. Forecast headroom on 2025-05-03 is 3348.55 against a request of 1513.60. Decision: affordable_now / full_payment."
request_252,9110500.0,not_affordable,not_recommended,none,,none,"Balance 25250700.00 IDR, min balance 15152200.00. Forecast headroom on 2026-07-05 is 9110500.00 against a request of 28082000.00. Decision: not_affordable / not_recommended."
request_253,2143.57,not_affordable,not_recommended,none,,none,"Balance 4635.57 EUR, min balance 2300.00. Forecast headroom on 2024-03-07 is 2143.57 against a request of 2840.20. Decision: not_affordable / not_recommended."
request_254,1759.6,not_affordable,not_recommended,none,,none,"Balance 4259.60 USD, min balance 2500.00. Forecast headroom on 2025-08-04 is 1759.60 against a request of 3535.20. Decision: not_affordable / not_recommended."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,"Balance 38518150.00 IDR, min balance 9813900.00. Forecast headroom on 2026-04-06 is 28704250.00 against a request of 3345000.00. Decision: affordable_now / full_payment."
request_256,218700.0,affordable_now,full_payment,2024-06-03:218700.00,2024-06-03,none,"Balance 394983.28 INR, min balance 168600.00. Forecast headroom on 2024-06-03 is 226383.28 against a request of 218700.00. Decision: affordable_now / full_payment."
request_257,1085.2,affordable_with_plan,full_payment,2025-11-15:1352.40,2025-11-15,none,"Balance 2685.20 USD, min balance 1600.00. Forecast headroom on 2025-11-05 is 1085.20 against a request of 1352.40. Decision: affordable_with_plan / full_payment."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Balance 2603.68 USD, min balance 500.00. Forecast headroom on 2026-01-07 is 2103.68 against a request of 1113.60. Decision: affordable_now / full_payment."
request_259,627.3,not_affordable,not_recommended,none,,none,"Balance 1269.30 EUR, min balance 600.00. Forecast headroom on 2024-09-04 is 627.30 against a request of 935.00. Decision: not_affordable / not_recommended."
request_260,13522300.0,not_affordable,not_recommended,none,,reduce_to:event_23979:0.00|reduce_to:event_23978:589000.00,"Balance 35787100.00 IDR, min balance 20727700.00. Forecast headroom on 2025-02-06 is 13522300.00 against a request of 52079000.00. Decision: not_affordable / not_recommended. Required spending changes: reduce_to:event_23979:0.00, reduce_to:event_23978:589000.00."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Balance 4718.96 EUR, min balance 1500.00. Forecast headroom on 2026-07-03 is 3129.96 against a request of 1830.40. Decision: affordable_now / full_payment."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,"Balance 88406100.00 IDR, min balance 31018500.00. Forecast headroom on 2024-12-05 is 54446400.00 against a request of 9236000.00. Decision: affordable_now / full_payment."
request_263,13750.0,not_affordable,not_recommended,none,,none,"Balance 38818.00 ZAR, min balance 24100.00. Forecast headroom on 2025-05-07 is 13750.00 against a request of 51546.00. Decision: not_affordable / not_recommended."
request_264,39795.0,not_affordable,not_recommended,none,,none,"Balance 104375.00 INR, min balance 59500.00. Forecast headroom on 2026-04-04 is 39795.00 against a request of 111300.00. Decision: not_affordable / not_recommended."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,"Balance 786105.00 INR, min balance 189700.00. Forecast headroom on 2024-03-06 is 596405.00 against a request of 45970.00. Decision: affordable_now / full_payment."
request_266,935.0,affordable_now,full_payment,2025-08-03:935.00,2025-08-03,none,"Balance 2354.92 EUR, min balance 900.00. Forecast headroom on 2025-08-03 is 1454.92 against a request of 935.00. Decision: affordable_now / full_payment."
request_267,1925.0,affordable_now,full_payment,2026-01-05:1925.00,2026-01-05,none,"Balance 3648.98 EUR, min balance 1500.00. Forecast headroom on 2026-01-05 is 2148.98 against a request of 1925.00. Decision: affordable_now / full_payment."
request_268,1512.52,not_affordable,not_recommended,none,,none,"Balance 2912.52 EUR, min balance 1400.00. Forecast headroom on 2024-06-07 is 1512.52 against a request of 2426.60. Decision: not_affordable / not_recommended."
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490.00,2025-11-04,none,"Balance 45307.90 ZAR, min balance 23100.00. Forecast headroom on 2025-11-04 is 22207.90 against a request of 15490.00. Decision: affordable_now / full_payment."
request_270,535.4,not_affordable,not_recommended,none,,none,"Balance 1935.40 USD, min balance 1400.00. Forecast headroom on 2026-07-06 is 535.40 against a request of 3028.80. Decision: not_affordable / not_recommended."
request_271,84760.0,not_affordable,not_recommended,none,,none,"Balance 142960.00 INR, min balance 58200.00. Forecast headroom on 2024-09-03 is 84760.00 against a request of 91300.00. Decision: not_affordable / not_recommended."
request_272,8815924.0,not_affordable,not_recommended,none,,none,"Balance 16324524.00 IDR, min balance 7508600.00. Forecast headroom on 2025-02-05 is 8815924.00 against a request of 13585000.00. Decision: not_affordable / not_recommended."
request_273,13372200.0,not_affordable,not_recommended,none,,none,"Balance 32146800.00 IDR, min balance 18774600.00. Forecast headroom on 2026-04-07 is 13372200.00 against a request of 15861000.00. Decision: not_affordable / not_recommended."
request_274,2713.7,affordable_now,full_payment,2024-12-04:2713.70,2024-12-04,none,"Balance 4847.31 EUR, min balance 1800.00. Forecast headroom on 2024-12-04 is 3047.31 against a request of 2713.70. Decision: affordable_now / full_payment."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,"Balance 37206450.00 IDR, min balance 12760100.00. Forecast headroom on 2025-05-06 is 24446350.00 against a request of 15884000.00. Decision: affordable_now / full_payment."
